date,4G(GB),5G(GB)
2016/03/20,108860.65,108860.65
2016/03/21,108325.08,108325.08
2016/03/22,111029.64,111029.64
2016/03/23,109723.04,109723.04
2016/03/24,115598.04,115598.04
2016/03/25,110695.34,110695.34
2016/03/26,101586.46,101586.46
2016/03/27,97232.73,97232.73
2016/03/28,95339.84,95339.84
2016/03/29,98093.76,98093.76
2016/03/30,100410.0,100410.0
2016/03/31,109801.31,109801.31
2016/04/01,114313.89,114313.89
2016/04/02,118546.62,118546.62
2016/04/03,118488.31,118488.31
2016/04/04,116523.68,116523.68
2016/04/05,110153.44,110153.44
2016/04/06,113501.57,113501.57
2016/04/07,114867.02,114867.02
2016/04/08,116122.65,116122.65
2016/04/09,115426.69,115426.69
2016/04/10,111448.35,111448.35
2016/04/11,112898.32,112898.32
2016/04/12,112418.1,112418.1
2016/04/13,113480.36,113480.36
2016/04/14,116906.15,116906.15
2016/04/15,113784.1,113784.1
2016/04/16,112720.84,112720.84
2016/04/17,109578.69,109578.69
2016/04/18,108683.3,108683.3
2016/04/19,108048.22,108048.22
2016/04/20,108477.08,108477.08
2016/04/21,109134.21,109134.21
2016/04/22,108709.76,108709.76
2016/04/23,107592.14,107592.14
2016/04/24,106646.43,106646.43
2016/04/25,101949.03,101949.03
2016/04/26,102969.7,102969.7
2016/04/27,93362.44,93362.44
2016/04/28,103049.51,103049.51
2016/04/29,105430.73,105430.73
2016/05/01,110275.96,110275.96
2016/05/02,118505.86,118505.86
2016/05/03,123814.73,123814.73
2016/05/04,124462.28,124462.28
2016/05/05,126498.29,126498.29
2016/05/06,126515.32,126515.32
2016/05/07,124845.34,124845.34
2016/05/08,122748.54,122748.54
2016/05/09,115164.73,115164.73
2016/05/10,119818.37,119818.37
2016/05/11,118090.03,118090.03
2016/05/12,122369.47,122369.47
2016/05/13,123131.5,123131.5
2016/05/14,118387.79,118387.79
2016/05/15,115124.17,115124.17
2016/05/16,108218.38,108218.38
2016/05/17,112604.11,112604.11
2016/05/18,111365.08,111365.08
2016/05/19,111429.51,111429.51
2016/05/20,114149.46,114149.46
2016/05/21,111660.78,111660.78
2016/05/22,109053.19,109053.19
2016/05/23,106093.61,106093.61
2016/05/24,110389.65,110389.65
2016/05/25,107576.57,107576.57
2016/05/26,106934.18,106934.18
2016/05/27,110764.21,110764.21
2016/05/28,107670.45,107670.45
2016/05/29,106548.42,106548.42
2016/05/30,100147.22,100147.22
2016/05/31,109838.47,109838.47
2016/06/01,116943.45,116943.45
2016/06/02,120746.33,120746.33
2016/06/03,126009.15,126009.15
2016/06/04,130524.16,130524.16
2016/06/05,129734.31,129734.31
2016/06/06,128622.53,128622.53
2016/06/07,123977.44,123977.44
2016/06/08,126523.14,126523.14
2016/06/09,135808.8,135808.8
2016/06/10,121936.04,121936.04
2016/06/11,119577.8,119577.8
2016/06/12,115823.17,115823.17
2016/06/13,115628.67,115628.67
2016/06/14,116940.9,116940.9
2016/06/15,118369.23,118369.23
2016/06/16,116481.07,116481.07
2016/06/17,120172.31,120172.31
2016/06/18,119400.69,119400.69
2016/06/19,113974.04,113974.04
2016/06/20,109984.83,109984.83
2016/06/21,109945.6,109945.6
2016/06/22,106007.76,106007.76
2016/06/23,112051.19,112051.19
2016/06/24,113027.17,113027.17
2016/06/25,114833.35,114833.35
2016/06/26,109031.75,109031.75
2016/06/27,105409.65,105409.65
2016/06/28,112522.48,112522.48
2016/06/29,110937.85,110937.85
2016/06/30,114557.01,114557.01
2016/07/01,120243.35,120243.35
2016/07/02,126822.31,126822.31
2016/07/03,127741.73,127741.73
2016/07/04,130975.87,130975.87
2016/07/05,131849.58,131849.58
2016/07/06,130668.36,130668.36
2016/07/07,131004.48,131004.48
2016/07/08,127013.48,127013.48
2016/07/09,123874.79,123874.79
2016/07/10,121900.95,121900.95
2016/07/11,123164.2,123164.2
2016/07/12,125557.7,125557.7
2016/07/13,125892.24,125892.24
2016/07/14,124095.49,124095.49
2016/07/15,124842.11,124842.11
2016/07/16,122204.57,122204.57
2016/07/17,118412.2,118412.2
2016/07/18,116645.06,116645.06
2016/07/19,119034.19,119034.19
2016/07/20,116652.7,116652.7
2016/07/21,116400.8,116400.8
2016/07/22,115751.29,115751.29
2016/07/23,114166.67,114166.67
2016/07/24,102042.45,102042.45
2016/07/25,108931.01,108931.01
2016/07/26,88437.85,88437.85
2016/07/27,115208.89,115208.89
2016/07/28,111490.46,111490.46
2016/07/29,111255.99,111255.99
2016/07/30,115222.69,115222.69
2016/07/31,115817.8,115817.8
2016/08/01,117368.28,117368.28
2016/08/02,129819.89,129819.89
2016/08/03,133839.68,133839.68
2016/08/04,122918.67,122918.67
2016/08/05,137376.18,137376.18
2016/08/06,139178.92,139178.92
2016/08/07,129890.43,129890.43
2016/08/08,133699.12,133699.12
2016/08/09,130604.23,130604.23
2016/08/10,106303.06,106303.06
2016/08/12,140295.5,140295.5
2016/08/13,136519.25,136519.25
2016/08/14,134051.24,134051.24
2016/08/16,134420.24,134420.24
2016/08/17,140696.89,140696.89
2016/08/31,129628.77,129628.77
2016/09/01,131344.77,131344.77
2016/09/02,138355.39,138355.39
2016/09/03,148014.64,148014.64
2016/09/04,148732.04,148732.04
2016/09/05,141460.83,141460.83
2016/09/06,119908.27,119908.27
2016/09/07,131107.89,131107.89
2016/09/08,146649.67,146649.67
2016/09/09,146950.74,146950.74
2016/09/10,150766.33,150766.33
2016/09/11,148724.04,148724.04
2016/09/12,145830.54,145830.54
2016/09/13,147106.69,147106.69
2016/09/14,148134.27,148134.27
2016/09/15,157518.95,157518.95
2016/09/16,144530.07,144530.07
2016/09/17,143545.72,143545.72
2016/09/18,139205.93,139205.93
2016/09/19,142550.36,142550.36
2016/09/20,146240.43,146240.43
2016/09/21,152039.87,152039.87
2016/09/22,152722.91,152722.91
2016/09/23,149775.89,149775.89
2016/09/24,151793.87,151793.87
2016/09/25,146253.55,146253.55
2016/09/26,140683.45,140683.45
2016/09/27,154134.44,154134.44
2016/09/28,153253.41,153253.41
2016/09/29,159658.73,159658.73
2016/09/30,168852.38,168852.38
2016/10/01,175605.36,175605.36
2016/10/02,176249.71,176249.71
2016/10/03,173825.61,173825.61
2016/10/04,170752.17,170752.17
2016/10/05,171595.28,171595.28
2016/10/06,169557.74,169557.74
2016/10/07,168596.66,168596.66
2016/10/08,173452.16,173452.16
2016/10/09,175956.69,175956.69
2016/10/10,173713.4,173713.4
2016/10/11,173279.65,173279.65
2016/10/12,177479.32,177479.32
2016/10/13,187911.7,187911.7
2016/10/14,191065.81,191065.81
2016/10/15,180856.16,180856.16
2016/10/16,169294.22,169294.22
2016/10/17,169243.8,169243.8
2016/10/18,205667.3,205667.3
2016/10/19,154342.1,154342.1
2016/10/20,158334.61,158334.61
2016/10/21,161138.62,161138.62
2016/10/22,169301.16,169301.16
2016/10/23,169598.71,169598.71
2016/10/24,167571.71,167571.71
2016/10/25,168606.24,168606.24
2016/10/26,170760.92,170760.92
2016/10/27,171806.08,171806.08
2016/10/28,175511.7,175511.7
2016/10/29,174456.31,174456.31
2016/10/30,177568.83,177568.83
2016/10/31,179244.9,179244.9
2016/11/01,196072.3,196072.3
2016/11/02,191361.76,191361.76
2016/11/03,189467.01,189467.01
2016/11/04,193049.69,193049.69
2016/11/05,199230.17,199230.17
2016/11/06,193722.05,193722.05
2016/11/07,187407.74,187407.74
2016/11/08,190980.73,190980.73
2016/11/09,188059.12,188059.12
2016/11/10,192973.02,192973.02
2016/11/11,206352.18,206352.18
2016/11/12,195616.81,195616.81
2016/11/13,188923.22,188923.22
2016/11/14,178345.54,178345.54
2016/11/15,180128.26,180128.26
2016/11/16,184014.27,184014.27
2016/11/17,186977.9,186977.9
2016/11/18,196452.71,196452.71
2016/11/19,195807.22,195807.22
2016/11/20,186151.56,186151.56
2016/11/21,182046.95,182046.95
2016/11/22,185268.35,185268.35
2016/11/23,185834.08,185834.08
2016/11/24,196018.91,196018.91
2016/11/25,193349.74,193349.74
2016/11/26,180046.88,180046.88
2016/11/27,164053.32,164053.32
2016/11/28,167808.65,167808.65
2016/11/29,174458.42,174458.42
2016/11/30,177826.91,177826.91
2016/12/01,182571.04,182571.04
2016/12/02,210153.16,210153.16
2016/12/03,213408.09,213408.09
2016/12/04,202894.92,202894.92
2016/12/05,198611.65,198611.65
2016/12/06,193430.03,193430.03
2016/12/07,203361.14,203361.14
2016/12/08,200631.06,200631.06
2016/12/09,212520.3,212520.3
2016/12/10,216361.79,216361.79
2016/12/11,209265.84,209265.84
2016/12/12,206058.16,206058.16
2016/12/13,203983.89,203983.89
2016/12/14,206869.62,206869.62
2016/12/15,204964.32,204964.32
2016/12/16,204792.18,204792.18
2016/12/17,204116.79,204116.79
2016/12/18,203154.3,203154.3
2016/12/19,193809.25,193809.25
2016/12/20,196094.46,196094.46
2016/12/21,200900.63,200900.63
2016/12/22,201824.27,201824.27
2016/12/23,209002.21,209002.21
2016/12/24,219360.58,219360.58
2016/12/25,201881.36,201881.36
2016/12/26,198093.02,198093.02
2016/12/27,192603.96,192603.96
2016/12/28,185003.89,185003.89
2016/12/29,186529.66,186529.66
2016/12/30,198682.9,198682.9
2016/12/31,209234.08,209234.08
2017/01/01,231047.84,231047.84
2017/01/02,219707.25,219707.25
2017/01/03,216470.93,216470.93
2017/01/04,225307.5,225307.5
2017/01/05,230508.68,230508.68
2017/01/06,233729.62,233729.62
2017/01/07,240013.94,240013.94
2017/01/08,227681.35,227681.35
2017/01/09,222824.21,222824.21
2017/01/10,221347.39,221347.39
2017/01/11,221671.2,221671.2
2017/01/12,242286.14,242286.14
2017/01/13,225245.22,225245.22
2017/01/14,217375.26,217375.26
2017/01/15,212856.12,212856.12
2017/01/16,205367.73,205367.73
2017/01/17,199806.43,199806.43
2017/01/18,202023.17,202023.17
2017/01/19,198891.05,198891.05
2017/01/20,203033.58,203033.58
2017/01/21,194105.78,194105.78
2017/01/22,184427.62,184427.62
2017/01/23,186441.76,186441.76
2017/01/24,198877.98,198877.98
2017/01/25,194682.38,194682.38
2017/01/26,199955.92,199955.92
2017/01/27,228374.94,228374.94
2017/01/28,243332.43,243332.43
2017/01/29,232020.48,232020.48
2017/01/30,231339.3,231339.3
2017/01/31,238585.63,238585.63
2017/02/01,248850.36,248850.36
2017/02/02,245211.55,245211.55
2017/02/03,241814.47,241814.47
2017/02/04,243238.57,243238.57
2017/02/05,229290.34,229290.34
2017/02/06,227714.51,227714.51
2017/02/07,233165.01,233165.01
2017/02/08,233916.76,233916.76
2017/02/09,228883.28,228883.28
2017/02/10,227863.44,227863.44
2017/02/11,234359.86,234359.86
2017/02/12,212787.14,212787.14
2017/02/13,209809.53,209809.53
2017/02/14,227505.0,227505.0
2017/02/15,226350.1,226350.1
2017/02/16,224362.99,224362.99
2017/02/17,228885.72,228885.72
2017/02/18,232453.82,232453.82
2017/02/19,238628.35,238628.35
2017/02/20,228906.59,228906.59
2017/02/21,241708.46,241708.46
2017/02/22,245426.99,245426.99
2017/02/23,251653.9,251653.9
2017/02/24,254588.55,254588.55
2017/02/25,253960.91,253960.91
2017/02/26,244509.92,244509.92
2017/02/27,243050.52,243050.52
2017/02/28,257142.23,257142.23
2017/03/01,261495.45,261495.45
2017/03/02,270400.53,270400.53
2017/03/03,277628.74,277628.74
2017/03/04,289280.95,289280.95
2017/03/05,282162.75,282162.75
2017/03/06,273055.87,273055.87
2017/03/07,281726.6,281726.6
2017/03/08,291078.7,291078.7
2017/03/09,275042.33,275042.33
2017/03/10,278284.03,278284.03
2017/03/11,286463.6,286463.6
2017/03/12,276223.57,276223.57
2017/03/13,263526.05,263526.05
2017/03/14,265321.67,265321.67
2017/03/15,264917.83,264917.83
2017/03/16,265220.79,265220.79
2017/03/17,276521.97,276521.97
2017/03/18,282387.53,282387.53
2017/03/19,265300.63,265300.63
2017/03/20,251434.2,251434.2
2017/03/21,252546.49,252546.49
2017/03/22,252318.96,252318.96
2017/03/23,254158.83,254158.83
2017/03/24,256779.4,256779.4
2017/03/25,261234.53,261234.53
2017/03/26,248971.19,248971.19
2017/03/27,238373.62,238373.62
2017/03/28,240421.13,240421.13
2017/03/29,241383.3,241383.3
2017/03/31,256268.4,256268.4
2017/04/01,274465.42,274465.42
2017/04/02,276420.24,276420.24
2017/04/03,275955.78,275955.78
2017/04/04,279024.98,279024.98
2017/04/05,275511.67,275511.67
2017/04/06,285658.21,285658.21
2017/04/07,284619.6,284619.6
2017/04/08,295120.35,295120.35
2017/04/09,287263.41,287263.41
2017/04/10,276871.57,276871.57
2017/04/11,277291.11,277291.11
2017/04/12,288539.98,288539.98
2017/04/13,289229.95,289229.95
2017/04/14,286864.4,286864.4
2017/04/15,293457.18,293457.18
2017/04/16,278696.91,278696.91
2017/04/17,258931.91,258931.91
2017/04/18,258521.17,258521.17
2017/04/19,263879.01,263879.01
2017/04/20,263123.9,263123.9
2017/04/21,270386.17,270386.17
2017/04/22,274912.19,274912.19
2017/04/23,262481.25,262481.25
2017/04/24,246621.55,246621.55
2017/04/25,248331.12,248331.12
2017/04/27,253298.09,253298.09
2017/04/28,254067.53,254067.53
2017/04/29,256163.24,256163.24
2017/04/30,252708.79,252708.79
2017/05/01,283547.22,283547.22
2017/05/02,270547.29,270547.29
2017/05/03,296895.52,296895.52
2017/05/04,291660.03,291660.03
2017/05/05,302365.97,302365.97
2017/05/06,310552.83,310552.83
2017/05/07,309254.23,309254.23
2017/05/08,283189.74,283189.74
2017/05/09,292212.11,292212.11
2017/05/11,292416.37,292416.37
2017/05/12,288708.64,288708.64
2017/05/13,299545.22,299545.22
2017/05/14,298185.42,298185.42
2017/05/15,278318.31,278318.31
2017/05/16,272860.24,272860.24
2017/05/17,273415.9,273415.9
2017/05/18,283935.23,283935.23
2017/05/19,291325.07,291325.07
2017/05/20,297656.55,297656.55
2017/05/21,276442.15,276442.15
2017/05/22,289354.95,289354.95
2017/05/23,268625.88,268625.88
2017/05/24,272340.08,272340.08
2017/05/25,275110.75,275110.75
2017/05/26,276840.47,276840.47
2017/05/27,271127.16,271127.16
2017/05/28,262238.81,262238.81
2017/05/29,258245.79,258245.79
2017/05/30,268681.05,268681.05
2017/05/31,254047.5,254047.5
2017/06/01,306687.59,306687.59
2017/06/02,292878.82,292878.82
2017/06/03,313512.59,313512.59
2017/06/04,311954.47,311954.47
2017/06/05,307265.82,307265.82
2017/06/06,313121.87,313121.87
2017/06/07,310617.55,310617.55
2017/06/08,315838.96,315838.96
2017/06/09,314057.14,314057.14
2017/06/10,317662.39,317662.39
2017/06/11,310384.36,310384.36
2017/06/12,291891.19,291891.19
2017/06/13,301848.53,301848.53
2017/06/14,298609.17,298609.17
2017/06/15,299448.75,299448.75
2017/06/16,298535.84,298535.84
2017/06/17,306185.26,306185.26
2017/06/18,305517.58,305517.58
2017/06/19,278772.33,278772.33
2017/06/20,287473.89,287473.89
2017/06/21,281143.23,281143.23
2017/06/22,280173.59,280173.59
2017/06/23,287187.25,287187.25
2017/06/24,284644.53,284644.53
2017/06/25,270733.43,270733.43
2017/06/26,261215.67,261215.67
2017/06/27,265756.0,265756.0
2017/06/28,269955.19,269955.19
2017/06/29,301381.21,301381.21
2017/06/30,283701.23,283701.23
2017/07/01,311516.92,311516.92
2017/07/02,295503.65,295503.65
2017/07/03,302683.9,302683.9
2017/07/04,313789.23,313789.23
2017/07/05,319610.39,319610.39
2017/07/06,316311.13,316311.13
2017/07/07,310945.3,310945.3
2017/07/08,309804.43,309804.43
2017/07/09,299769.83,299769.83
2017/07/10,295623.09,295623.09
2017/07/11,305667.86,305667.86
2017/07/13,305366.98,305366.98
2017/07/14,305854.91,305854.91
2017/07/15,309556.92,309556.92
2017/07/16,314414.95,314414.95
2017/07/17,286897.55,286897.55
2017/07/18,304419.87,304419.87
2017/07/19,293642.3,293642.3
2017/07/20,288996.42,288996.42
2017/07/21,289036.56,289036.56
2017/07/22,295171.13,295171.13
2017/07/23,279735.6,279735.6
2017/07/24,284639.64,284639.64
2017/07/25,286329.45,286329.45
2017/07/26,277789.67,277789.67
2017/07/27,249592.88,249592.88
2017/07/28,281722.45,281722.45
2017/07/29,268324.52,268324.52
2017/07/30,268581.67,268581.67
2017/07/31,266947.77,266947.77
2017/08/01,305180.15,305180.15
2017/08/02,311900.55,311900.55
2017/08/03,324416.62,324416.62
2017/08/04,327153.09,327153.09
2017/08/05,329179.27,329179.27
2017/08/06,323695.8,323695.8
2017/08/07,317652.18,317652.18
2017/08/08,324774.18,324774.18
2017/08/09,318123.75,318123.75
2017/08/10,320203.85,320203.85
2017/08/11,317469.92,317469.92
2017/08/12,318213.54,318213.54
2017/08/13,312346.26,312346.26
2017/08/14,309059.79,309059.79
2017/08/15,309924.6,309924.6
2017/08/16,310935.69,310935.69
2017/08/17,311359.11,311359.11
2017/08/18,316184.76,316184.76
2017/08/19,314615.44,314615.44
2017/08/20,304019.04,304019.04
2017/08/21,297045.54,297045.54
2017/08/22,296288.21,296288.21
2017/08/23,318730.1,318730.1
2017/08/24,339460.71,339460.71
2017/08/25,310734.2,310734.2
2017/08/26,318120.22,318120.22
2017/08/27,311586.92,311586.92
2017/08/28,326960.59,326960.59
2017/08/29,309300.95,309300.95
2017/08/30,304199.92,304199.92
2017/08/31,308930.85,308930.85
2017/09/01,345213.31,345213.31
2017/09/02,347694.21,347694.21
2017/09/03,366845.79,366845.79
2017/09/04,363075.47,363075.47
2017/09/05,377305.57,377305.57
2017/09/06,380676.89,380676.89
2017/09/07,386753.83,386753.83
2017/09/08,387193.82,387193.82
2017/09/09,395152.83,395152.83
2017/09/10,388314.92,388314.92
2017/09/11,373531.52,373531.52
2017/09/12,371978.82,371978.82
2017/09/13,379285.74,379285.74
2017/09/14,413444.26,413444.26
2017/09/15,410707.84,410707.84
2017/09/16,410165.13,410165.13
2017/09/17,401870.88,401870.88
2017/09/18,385703.21,385703.21
2017/09/19,393858.24,393858.24
2017/09/20,400698.73,400698.73
2017/09/21,406693.15,406693.15
2017/09/22,413452.07,413452.07
2017/09/23,424224.51,424224.51
2017/09/24,433215.73,433215.73
2017/09/25,393092.88,393092.88
2017/09/26,404414.51,404414.51
2017/09/27,390629.86,390629.86
2017/09/28,413207.19,413207.19
2017/09/29,420076.48,420076.48
2017/09/30,432450.73,432450.73
2017/10/01,479660.17,479660.17
2017/10/02,475042.89,475042.89
2017/10/03,483333.59,483333.59
2017/10/04,504678.68,504678.68
2017/10/05,498106.57,498106.57
